persona_id,model,model_origin,country,sex,age_group,education,query_idx,raw_response,parsed_value,is_valid,response_time_sec,timestamp
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,0,1,1,True,0.376,2026-03-01T19:10:02.593587
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,1,1,1,True,0.279,2026-03-01T19:10:02.873088
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,2,1,1,True,0.289,2026-03-01T19:10:03.162114
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,3,1,1,True,0.275,2026-03-01T19:10:03.437737
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,4,1,1,True,0.27,2026-03-01T19:10:03.707846
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,5,1,1,True,0.309,2026-03-01T19:10:04.017135
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,6,1,1,True,0.277,2026-03-01T19:10:04.294480
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,7,1,1,True,0.278,2026-03-01T19:10:04.572647
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,8,1,1,True,0.287,2026-03-01T19:10:04.859646
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,9,1,1,True,0.293,2026-03-01T19:10:05.152862
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,10,1,1,True,0.289,2026-03-01T19:10:05.441829
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,11,1,1,True,0.29,2026-03-01T19:10:05.732195
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,12,1,1,True,0.291,2026-03-01T19:10:06.022908
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,13,1,1,True,0.302,2026-03-01T19:10:06.325389
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,14,1,1,True,0.299,2026-03-01T19:10:06.624641
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,15,1,1,True,0.286,2026-03-01T19:10:06.910735
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,16,1,1,True,0.293,2026-03-01T19:10:07.203419
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,17,1,1,True,0.288,2026-03-01T19:10:07.491241
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,18,1,1,True,0.292,2026-03-01T19:10:07.783455
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,19,1,1,True,0.279,2026-03-01T19:10:08.062828
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,20,1,1,True,0.287,2026-03-01T19:10:08.350391
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,21,1,1,True,0.286,2026-03-01T19:10:08.636070
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,22,1,1,True,0.308,2026-03-01T19:10:08.943884
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,23,1,1,True,0.296,2026-03-01T19:10:09.239872
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,24,1,1,True,0.307,2026-03-01T19:10:09.546717
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,25,1,1,True,0.287,2026-03-01T19:10:09.833730
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,26,1,1,True,0.29,2026-03-01T19:10:10.123445
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,27,1,1,True,0.278,2026-03-01T19:10:10.401935
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,28,1,1,True,0.287,2026-03-01T19:10:10.689104
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,29,1,1,True,0.303,2026-03-01T19:10:10.992237
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,30,1,1,True,0.28,2026-03-01T19:10:11.272075
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,31,1,1,True,0.309,2026-03-01T19:10:11.580903
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,32,1,1,True,0.282,2026-03-01T19:10:11.862966
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,33,1,1,True,0.295,2026-03-01T19:10:12.158268
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,34,1,1,True,0.283,2026-03-01T19:10:12.440902
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,35,1,1,True,0.29,2026-03-01T19:10:12.730528
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,36,1,1,True,0.288,2026-03-01T19:10:13.018422
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,37,1,1,True,0.29,2026-03-01T19:10:13.308313
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,38,1,1,True,0.307,2026-03-01T19:10:13.615380
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,39,1,1,True,0.286,2026-03-01T19:10:13.901174
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,40,1,1,True,0.28,2026-03-01T19:10:14.180910
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,41,1,1,True,0.293,2026-03-01T19:10:14.474202
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,42,1,1,True,0.305,2026-03-01T19:10:14.779021
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,43,1,1,True,0.276,2026-03-01T19:10:15.055007
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,44,1,1,True,0.307,2026-03-01T19:10:15.362486
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,45,1,1,True,0.285,2026-03-01T19:10:15.647242
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,46,1,1,True,0.288,2026-03-01T19:10:15.935452
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,47,1,1,True,0.312,2026-03-01T19:10:16.247244
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,48,1,1,True,0.285,2026-03-01T19:10:16.532469
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,49,1,1,True,0.286,2026-03-01T19:10:16.818704
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,50,1,1,True,0.317,2026-03-01T19:10:17.135479
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,51,1,1,True,0.287,2026-03-01T19:10:17.422137
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,52,1,1,True,0.298,2026-03-01T19:10:17.720131
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,53,1,1,True,0.303,2026-03-01T19:10:18.023484
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,54,1,1,True,0.296,2026-03-01T19:10:18.319277
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,55,1,1,True,0.311,2026-03-01T19:10:18.629997
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,56,1,1,True,0.311,2026-03-01T19:10:18.941550
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,57,1,1,True,0.313,2026-03-01T19:10:19.254981
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,58,1,1,True,0.281,2026-03-01T19:10:19.536318
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,59,1,1,True,0.291,2026-03-01T19:10:19.827830
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,60,1,1,True,0.282,2026-03-01T19:10:20.109920
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,61,1,1,True,0.292,2026-03-01T19:10:20.401583
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,62,1,1,True,0.292,2026-03-01T19:10:20.693402
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,63,1,1,True,0.294,2026-03-01T19:10:20.987018
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,64,1,1,True,0.287,2026-03-01T19:10:21.274445
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,65,1,1,True,0.283,2026-03-01T19:10:21.557940
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,66,1,1,True,0.294,2026-03-01T19:10:21.852302
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,67,1,1,True,0.288,2026-03-01T19:10:22.140724
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,68,1,1,True,0.31,2026-03-01T19:10:22.450559
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,69,1,1,True,0.315,2026-03-01T19:10:22.765511
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,70,1,1,True,0.287,2026-03-01T19:10:23.052412
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,71,1,1,True,0.309,2026-03-01T19:10:23.361404
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,72,1,1,True,0.309,2026-03-01T19:10:23.670292
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,73,1,1,True,0.285,2026-03-01T19:10:23.954999
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,74,1,1,True,0.29,2026-03-01T19:10:24.244625
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,75,1,1,True,0.288,2026-03-01T19:10:24.532755
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,76,1,1,True,0.285,2026-03-01T19:10:24.818297
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,77,1,1,True,0.286,2026-03-01T19:10:25.104173
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,78,1,1,True,0.28,2026-03-01T19:10:25.383940
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,79,1,1,True,0.286,2026-03-01T19:10:25.669888
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,80,1,1,True,0.291,2026-03-01T19:10:25.960903
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,81,1,1,True,0.297,2026-03-01T19:10:26.258159
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,82,1,1,True,0.294,2026-03-01T19:10:26.552201
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,83,1,1,True,0.283,2026-03-01T19:10:26.835629
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,84,1,1,True,0.284,2026-03-01T19:10:27.119496
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,85,1,1,True,0.283,2026-03-01T19:10:27.402906
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,86,1,1,True,0.298,2026-03-01T19:10:27.700495
CHN_Female_18-29_Higher,gemma3,USA,CHN,Female,18-29,Higher,87,1,1,True,0.284,2026-03-01T19:10:27.984383
