persona_id,country,sex,age_group,education,n_respondents,question_id,question_text,scale_description,mean_response
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q1,How important is family in your life?,"1=Very important, 2=Rather important, 3=Not very important, 4=Not at all important",1.11
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q10,Do you consider feeling of responsibility to be especially important for children to learn at home?,"1=Mentioned, 2=Not mentioned",1.52
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q100,Are you a member of a professional association?,"0=Don't belong, 1=Inactive member, 2=Active member",0.35
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q101,Are you a member of a humanitarian or charitable organization?,"0=Don't belong, 1=Inactive member, 2=Active member",0.43
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q102,Are you a member of a consumer organization?,"0=Don't belong, 1=Inactive member, 2=Active member",0.25
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q103,Are you a member of a self-help group or mutual aid group?,"0=Don't belong, 1=Inactive member, 2=Active member",0.25
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q104,Are you a member of a women's group?,"0=Don't belong, 1=Inactive member, 2=Active member",0.38
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q105,Are you a member of any other organization?,"0=Don't belong, 1=Inactive member, 2=Active member",0.36
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q106,Where would you place your views on income equality vs. incentives for individual effort?,1=Incomes should be more equal to 10=Greater incentives for individual effort,4.53
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q107,Where would you place your views on private vs. government ownership of business?,1=Private ownership should be increased to 10=Government ownership should be increased,3.88
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q108,Where would you place your views on government vs. personal responsibility?,1=Government should take more responsibility to 10=People should take more responsibility,4.75
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q109,Where would you place your views on whether competition is good or harmful?,1=Competition is good to 10=Competition is harmful,4.31
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q11,Do you consider imagination to be especially important for children to learn at home?,"1=Mentioned, 2=Not mentioned",1.66
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q110,Where would you place your views on whether hard work brings a better life?,1=Hard work usually brings a better life to 10=It is more a matter of luck and connections,4.04
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q111,Which comes closer to your view on environment vs. economic growth?,"1=Protecting environment priority, 2=Economic growth priority, 3=Other",1.45
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q112,How would you rate corruption in your country?,1=No corruption to 10=Abundant corruption,7.45
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q113,How many state authorities do you believe are involved in corruption?,"1=None of them, 2=Few of them, 3=Most of them, 4=All of them",2.45
