persona_id,country,sex,age_group,education,n_respondents,question_id,question_text,scale_description,mean_response
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q1,How important is family in your life?,"1=Very important, 2=Rather important, 3=Not very important, 4=Not at all important",1.12
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q10,Do you consider feeling of responsibility to be especially important for children to learn at home?,"1=Mentioned, 2=Not mentioned",1.2
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q100,Are you a member of a professional association?,"0=Don't belong, 1=Inactive member, 2=Active member",0.07
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q101,Are you a member of a humanitarian or charitable organization?,"0=Don't belong, 1=Inactive member, 2=Active member",0.04
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q102,Are you a member of a consumer organization?,"0=Don't belong, 1=Inactive member, 2=Active member",0.12
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q103,Are you a member of a self-help group or mutual aid group?,"0=Don't belong, 1=Inactive member, 2=Active member",0.08
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q104,Are you a member of a women's group?,"0=Don't belong, 1=Inactive member, 2=Active member",0.02
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q105,Are you a member of any other organization?,"0=Don't belong, 1=Inactive member, 2=Active member",0
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q106,Where would you place your views on income equality vs. incentives for individual effort?,1=Incomes should be more equal to 10=Greater incentives for individual effort,5.66
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q107,Where would you place your views on private vs. government ownership of business?,1=Private ownership should be increased to 10=Government ownership should be increased,5.44
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q108,Where would you place your views on government vs. personal responsibility?,1=Government should take more responsibility to 10=People should take more responsibility,5.37
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q109,Where would you place your views on whether competition is good or harmful?,1=Competition is good to 10=Competition is harmful,3.24
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q11,Do you consider imagination to be especially important for children to learn at home?,"1=Mentioned, 2=Not mentioned",1.77
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q110,Where would you place your views on whether hard work brings a better life?,1=Hard work usually brings a better life to 10=It is more a matter of luck and connections,3.71
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q111,Which comes closer to your view on environment vs. economic growth?,"1=Protecting environment priority, 2=Economic growth priority, 3=Other",1.41
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q112,How would you rate corruption in your country?,1=No corruption to 10=Abundant corruption,7.2
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q113,How many state authorities do you believe are involved in corruption?,"1=None of them, 2=Few of them, 3=Most of them, 4=All of them",2.11
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q114,How many business executives do you believe are involved in corruption?,"1=None of them, 2=Few of them, 3=Most of them, 4=All of them",2.46
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q115,How many local authorities do you believe are involved in corruption?,"1=None of them, 2=Few of them, 3=Most of them, 4=All of them",2.41
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q116,How many civil service providers do you believe are involved in corruption?,"1=None of them, 2=Few of them, 3=Most of them, 4=All of them",2.29
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q117,How many journalists and media do you believe are involved in corruption?,"1=None of them, 2=Few of them, 3=Most of them, 4=All of them",2.18
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q118,How often do ordinary people have to pay a bribe to get services?,"1=Never, 2=Rarely, 3=Frequently, 4=Always",2.93
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q119,"Do you agree that on the whole, women are less corrupt than men?","1=Strongly agree, 2=Agree, 3=Disagree, 4=Strongly disagree, 0=Hard to say",2.42
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q12,Do you consider tolerance and respect for other people to be especially important for children to learn at home?,"1=Mentioned, 2=Not mentioned",1.42
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q120,How high is the risk of being held accountable for bribery in this country?,1=No risk at all to 10=Very high risk,6.81
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q121,How would you evaluate the impact of immigrants on the development of your country?,"1=Very bad, 2=Quite bad, 3=Neither good nor bad, 4=Quite good, 5=Very good",3.73
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q122,Immigration fills important job vacancies.,"0=Disagree, 1=Hard to say, 2=Agree",1.51
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q123,Immigration strengthens cultural diversity.,"0=Disagree, 1=Hard to say, 2=Agree",1.73
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q124,Immigration increases the crime rate.,"0=Disagree, 1=Hard to say, 2=Agree",0.94
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q126,Immigration increases the risks of terrorism.,"0=Disagree, 1=Hard to say, 2=Agree",0.61
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q127,Immigration offers people from poor countries a better living.,"0=Disagree, 1=Hard to say, 2=Agree",1.45
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q128,Immigration increases unemployment.,"0=Disagree, 1=Hard to say, 2=Agree",0.9
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q129,Immigration leads to social conflict.,"0=Disagree, 1=Hard to say, 2=Agree",0.64
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q13,"Do you consider thrift, saving money and things to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned",1.64
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q131,How secure do you feel these days?,"1=Very secure, 2=Quite secure, 3=Not very secure, 4=Not at all secure",1.86
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q14,Do you consider determination and perseverance to be especially important for children to learn at home?,"1=Mentioned, 2=Not mentioned",1.72
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q142,How worried are you about losing your job or not finding a job?,"1=Very much, 2=A good deal, 3=Not much, 4=Not at all",2.35
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q143,How worried are you about not being able to give your children a good education?,"1=Very much, 2=A good deal, 3=Not much, 4=Not at all",1.85
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q144,Have you been the victim of a crime during the past year?,"1=Yes, 2=No",1.93
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q145,Has someone in your family been the victim of a crime during the past year?,"1=Yes, 2=No",1.91
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q146,How worried are you about a war involving your country?,"1=Very much, 2=A good deal, 3=Not much, 4=Not at all",2.55
