persona_id,country,sex,age_group,education,n_respondents,question_id,mean_response
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q1,1.12
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q10,1.2
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q100,0.07
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q101,0.04
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q102,0.12
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q103,0.08
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q104,0.02
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q105,0
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q106,5.66
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q107,5.44
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q108,5.37
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q109,3.24
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q11,1.77
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q110,3.71
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q111,1.41
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q112,7.2
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q113,2.11
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q114,2.46
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q115,2.41
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q116,2.29
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q117,2.18
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q118,2.93
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q119,2.42
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q12,1.42
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q120,6.81
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q121,3.73
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q122,1.51
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q123,1.73
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q124,0.94
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q126,0.61
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q127,1.45
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q128,0.9
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q129,0.64
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q13,1.64
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q131,1.86
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q14,1.72
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q142,2.35
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q143,1.85
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q144,1.93
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q145,1.91
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q146,2.55
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q147,2.39
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q149,1.65
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q150,1.83
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q151,1.09
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q152,2.24
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q153,2.45
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q154,2.1
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q155,2.25
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q156,1.77
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q157,2.56
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q158,8.54
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q159,8.4
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q16,1.67
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q161,4.9
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q162,2.34
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q163,8.62
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q17,1.96
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q176,5.01
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q177,2.96
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q178,1.63
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q179,1.37
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q18,1.03
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q180,1.52
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q181,1.73
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q182,2.58
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q183,1.69
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q184,2.98
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q185,4.16
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q186,4.91
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q187,2.12
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q188,4.85
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q189,1.92
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q19,1.9
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q190,3.47
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q191,1.95
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q192,1.26
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q193,1.74
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q194,1.42
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q195,6.36
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q196,1.91
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q197,2.44
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q198,2.56
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q199,2.5
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q2,1.65
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q20,1.26
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q200,2.11
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q201,3.98
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q202,2.02
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q203,4
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q204,1.44
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q205,3.75
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q206,2.62
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q207,1.68
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q208,2.14
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q209,2.32
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q21,1.81
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q210,2.48
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q211,2.58
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q212,2.59
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q213,1.54
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q214,2.36
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q215,2.83
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q216,2.38
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q217,1.99
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q218,2.54
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q219,2.78
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q22,1.32
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q220,2.82
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q221,2.69
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q23,1.82
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q235,2.7
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q236,2.81
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q237,2.76
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q238,1.67
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q24,1.2
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q241,5.57
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q243,7.51
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q244,8.11
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q245,5.66
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q246,8.56
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q247,7.43
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q248,5.61
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q249,9.04
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q25,1.74
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q250,8.84
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q251,6.78
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,137,Q252,7.35
