persona_id,country,sex,age_group,education,n_respondents,question_id,mean_response
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q1,1.11
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q10,1.52
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q100,0.35
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q101,0.43
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q102,0.25
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q103,0.25
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q104,0.38
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q105,0.36
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q106,4.53
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q107,3.88
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q108,4.75
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q109,4.31
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q11,1.66
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q110,4.04
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q111,1.45
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q112,7.45
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q113,2.45
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q114,2.48
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q115,2.27
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q116,2.3
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q117,2.55
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q118,2.1
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q119,1.8
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q12,1.3
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q120,5.66
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q121,3.3
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q122,1.37
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q123,1.48
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q124,1.02
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q125,1.2
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q126,1.07
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q127,1.34
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q128,1.07
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q129,1.24
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q13,1.77
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q130,2.24
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q131,2.41
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q132,2.85
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q133,2.73
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q134,3.07
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q135,2.69
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q136,2.66
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q137,2.92
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q138,2.93
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q139,1.34
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q14,1.61
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q140,1.4
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q141,1.63
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q142,2.57
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q143,2.41
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q144,1.81
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q145,1.78
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q146,2.04
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q147,2.25
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q148,2.44
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q149,1.33
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q150,1.43
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q151,1.62
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q152,1.9
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q153,1.87
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q154,2.24
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q155,2.61
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q156,1.81
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q157,2.52
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q158,6.49
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q159,6.79
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q16,1.72
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q161,5.22
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q162,4.49
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q163,6.32
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q17,1.68
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q176,4.94
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q177,3.31
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q178,4.36
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q179,2.5
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q18,1.07
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q180,2.37
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q181,2.46
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q182,6.69
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q183,3.45
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q184,4.86
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q185,6.43
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q186,6.88
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q187,3.39
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q188,4.9
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q189,1.68
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q19,1.98
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q190,2.45
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q191,2.6
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q192,1.95
USA_Female_18-29_Medium,USA,Female,18-29,Medium,184,Q193,6.22
