question_id,question_text,scale_description
Q1,"How important is family in your life?","1=Very important, 2=Rather important, 3=Not very important, 4=Not at all important"
Q2,"How important are friends in your life?","1=Very important, 2=Rather important, 3=Not very important, 4=Not at all important"
Q3,"How important is leisure time in your life?","1=Very important, 2=Rather important, 3=Not very important, 4=Not at all important"
Q4,"How important is politics in your life?","1=Very important, 2=Rather important, 3=Not very important, 4=Not at all important"
Q5,"How important is work in your life?","1=Very important, 2=Rather important, 3=Not very important, 4=Not at all important"
Q7,"Do you consider good manners to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q8,"Do you consider independence to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q9,"Do you consider hard work to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q10,"Do you consider feeling of responsibility to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q11,"Do you consider imagination to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q12,"Do you consider tolerance and respect for other people to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q13,"Do you consider thrift, saving money and things to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q14,"Do you consider determination and perseverance to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q16,"Do you consider not being selfish (unselfishness) to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q17,"Do you consider obedience to be especially important for children to learn at home?","1=Mentioned, 2=Not mentioned"
Q18,"Would you not like to have drug addicts as neighbors?","1=Mentioned, 2=Not mentioned"
Q19,"Would you not like to have people of a different race as neighbors?","1=Mentioned, 2=Not mentioned"
Q20,"Would you not like to have people who have AIDS as neighbors?","1=Mentioned, 2=Not mentioned"
Q21,"Would you not like to have immigrants/foreign workers as neighbors?","1=Mentioned, 2=Not mentioned"
Q22,"Would you not like to have homosexuals as neighbors?","1=Mentioned, 2=Not mentioned"
Q23,"Would you not like to have people of a different religion as neighbors?","1=Mentioned, 2=Not mentioned"
Q24,"Would you not like to have heavy drinkers as neighbors?","1=Mentioned, 2=Not mentioned"
Q25,"Would you not like to have unmarried couples living together as neighbors?","1=Mentioned, 2=Not mentioned"
Q26,"Would you not like to have people who speak a different language as neighbors?","1=Mentioned, 2=Not mentioned"
Q27,"One of my main goals in life has been to make my parents proud.","1=Strongly agree, 2=Agree, 3=Disagree, 4=Strongly disagree"
Q28,"When a mother works for pay, the children suffer.","1=Strongly agree, 2=Agree, 3=Disagree, 4=Strongly disagree"
Q29,"On the whole, men make better political leaders than women do.","1=Strongly agree, 2=Agree, 3=Disagree, 4=Strongly disagree"
Q30,"A university education is more important for a boy than for a girl.","1=Strongly agree, 2=Agree, 3=Disagree, 4=Strongly disagree"
Q31,"On the whole, men make better business executives than women do.","1=Strongly agree, 2=Agree, 3=Disagree, 4=Strongly disagree"
Q32,"Being a housewife is just as fulfilling as working for pay.","1=Strongly agree, 2=Agree, 3=Disagree, 4=Strongly disagree"
Q33,"When jobs are scarce, men should have more right to a job than women.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q34,"When jobs are scarce, employers should give priority to people of this country over immigrants.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q35,"If a woman earns more money than her husband, it is almost certain to cause problems.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q36,"Homosexual couples are as good parents as other couples.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q37,"It is a duty towards society to have children.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q38,"Adult children have the duty to provide long-term care for their parents.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q39,"People who don't work turn lazy.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q40,"Work is a duty towards society.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q41,"Work should always come first, even if it means less spare time.","1=Agree strongly, 2=Agree, 3=Neither agree nor disagree, 4=Disagree, 5=Disagree strongly"
Q42,"Which best describes your attitude toward society?","1=Must be radically changed by revolution, 2=Must be gradually improved by reforms, 3=Must be valiantly defended against subversive forces"
Q43,"Less importance placed on work in our lives — would this be a good thing, bad thing, or don't you mind?","1=Good, 2=Don't mind, 3=Bad"
Q44,"More emphasis on the development of technology — would this be a good thing, bad thing, or don't you mind?","1=Good, 2=Don't mind, 3=Bad"
Q45,"Greater respect for authority — would this be a good thing, bad thing, or don't you mind?","1=Good, 2=Don't mind, 3=Bad"
Q46,"Taking all things together, would you say you are happy?","1=Very happy, 2=Rather happy, 3=Not very happy, 4=Not at all happy"
Q47,"All in all, how would you describe your state of health these days?","1=Very good, 2=Good, 3=Fair, 4=Poor, 5=Very poor"
Q48,"How much freedom of choice and control do you feel you have over the way your life turns out?","1=No choice at all to 10=A great deal of choice"
Q49,"All things considered, how satisfied are you with your life as a whole these days?","1=Completely dissatisfied to 10=Completely satisfied"
Q50,"How satisfied are you with the financial situation of your household?","1=Completely dissatisfied to 10=Completely satisfied"
Q51,"In the last 12 months, how often have you or your family gone without enough food to eat?","1=Often, 2=Sometimes, 3=Rarely, 4=Never"
