persona_id,model,n_valid,w1_raw,w1_norm,country,sex,age_group,education
CHN_Female_18-29_Higher,bielik,100,0.9949999999999996,0.1105555555555555,CHN,Female,18-29,Higher
CHN_Female_18-29_Higher,gemma3,100,1.525,0.16944444444444443,CHN,Female,18-29,Higher
CHN_Female_18-29_Higher,qwen,100,1.65,0.18333333333333332,CHN,Female,18-29,Higher
CHN_Female_18-29_Lower,bielik,100,1.840625,0.20451388888888888,CHN,Female,18-29,Lower
CHN_Female_18-29_Lower,gemma3,100,2.171875,0.24131944444444445,CHN,Female,18-29,Lower
CHN_Female_18-29_Lower,qwen,100,2.890625,0.3211805555555556,CHN,Female,18-29,Lower
CHN_Female_18-29_Medium,bielik,100,1.362941177,0.15143790855555556,CHN,Female,18-29,Medium
CHN_Female_18-29_Medium,gemma3,100,2.117647059,0.23529411766666664,CHN,Female,18-29,Medium
CHN_Female_18-29_Medium,qwen,100,2.376470591,0.2640522878888889,CHN,Female,18-29,Medium
CHN_Female_30-49_Higher,bielik,100,1.523157888,0.16923976533333335,CHN,Female,30-49,Higher
CHN_Female_30-49_Higher,gemma3,100,1.7368420980000003,0.19298245533333336,CHN,Female,30-49,Higher
CHN_Female_30-49_Higher,qwen,100,2.947368418,0.32748537977777775,CHN,Female,30-49,Higher
CHN_Female_30-49_Lower,bielik,100,1.815699216,0.20174435733333335,CHN,Female,30-49,Lower
CHN_Female_30-49_Lower,gemma3,100,1.965699216,0.218411024,CHN,Female,30-49,Lower
CHN_Female_30-49_Lower,qwen,100,4.300791558,0.4778657286666667,CHN,Female,30-49,Lower
CHN_Female_30-49_Medium,bielik,100,1.8501204820000003,0.20556894244444449,CHN,Female,30-49,Medium
CHN_Female_30-49_Medium,gemma3,100,2.0301204820000005,0.2255689424444445,CHN,Female,30-49,Medium
CHN_Female_30-49_Medium,qwen,100,4.29518072,0.47724230222222225,CHN,Female,30-49,Medium
CHN_Female_50-64_Higher,bielik,100,2.150909091,0.238989899,CHN,Female,50-64,Higher
CHN_Female_50-64_Higher,gemma3,100,2.471818181,0.2746464645555556,CHN,Female,50-64,Higher
CHN_Female_50-64_Higher,qwen,100,3.954545457,0.4393939396666667,CHN,Female,50-64,Higher
CHN_Female_50-64_Lower,bielik,100,1.889999999,0.2099999998888889,CHN,Female,50-64,Lower
CHN_Female_50-64_Lower,gemma3,100,2.029999999,0.22555555544444447,CHN,Female,50-64,Lower
CHN_Female_50-64_Lower,qwen,100,4.500000001,0.5000000001111111,CHN,Female,50-64,Lower
CHN_Female_50-64_Medium,bielik,100,1.792972965,0.19921921833333334,CHN,Female,50-64,Medium
CHN_Female_50-64_Medium,gemma3,100,1.852972965,0.205885885,CHN,Female,50-64,Medium
CHN_Female_50-64_Medium,qwen,100,4.675675675,0.5195195194444444,CHN,Female,50-64,Medium
CHN_Female_65+_Lower,bielik,100,1.974166668,0.21935185200000001,CHN,Female,65+,Lower
CHN_Female_65+_Lower,gemma3,100,2.659722222,0.29552469133333337,CHN,Female,65+,Lower
CHN_Female_65+_Lower,qwen,100,4.186388888,0.46515432088888886,CHN,Female,65+,Lower
CHN_Female_65+_Medium,bielik,100,2.293333336,0.2548148151111111,CHN,Female,65+,Medium
CHN_Female_65+_Medium,gemma3,100,2.723333336,0.3025925928888889,CHN,Female,65+,Medium
