persona_id,country,sex,age_group,education,mean_w1_norm,max_w1_norm,mean_ci_lower,max_ci_lower,worst_model,worst_model_w1
CHN_Male_65+_Medium,CHN,Male,65+,Medium,0.3212169313703704,0.637248677,0.25067019400352736,0.5525925925925926,qwen,0.5525925925925926
CHN_Male_65+_Lower,CHN,Male,65+,Lower,0.28247115996296296,0.5829143898888889,0.24866029143897997,0.5437295081967213,qwen,0.5437295081967213
CHN_Male_65+_Higher,CHN,Male,65+,Higher,0.2750617282592593,0.6111111112222223,0.20691358024691356,0.537037037037037,qwen,0.537037037037037
CHN_Male_50-64_Lower,CHN,Male,50-64,Lower,0.29945465181481484,0.5306211725555555,0.27422134733158354,0.5052384076990376,qwen,0.5052384076990376
CHN_Male_30-49_Medium,CHN,Male,30-49,Medium,0.27801742892592596,0.526143791,0.2442415577342048,0.4909926470588235,qwen,0.4909926470588235
CHN_Male_30-49_Lower,CHN,Male,30-49,Lower,0.2785943776296297,0.5118250777777777,0.2549442213297635,0.4854975457385096,qwen,0.4854975457385096
CHN_Male_50-64_Medium,CHN,Male,50-64,Medium,0.28480014688888894,0.5214521455555556,0.24922075540887423,0.4818481848184819,qwen,0.4818481848184819
CHN_Female_50-64_Lower,CHN,Female,50-64,Lower,0.31185185181481484,0.5000000001111111,0.28694701646090537,0.47714506172839505,qwen,0.47714506172839505
CHN_Female_50-64_Medium,CHN,Female,50-64,Medium,0.3082082075925926,0.5195195194444444,0.2566566566566567,0.4684684684684685,qwen,0.4684684684684685
CHN_Female_30-49_Lower,CHN,Female,30-49,Lower,0.29934037,0.4778657286666667,0.27764585165640576,0.456171210788625,qwen,0.456171210788625
CHN_Female_30-49_Medium,CHN,Female,30-49,Medium,0.3027933957037037,0.47724230222222225,0.2699899598393574,0.44375836680053543,qwen,0.44375836680053543
CHN_Female_65+_Lower,CHN,Female,65+,Lower,0.32667695474074077,0.46515432088888886,0.2824189814814815,0.41806712962962966,qwen,0.41806712962962966
CHN_Male_50-64_Higher,CHN,Male,50-64,Higher,0.2624691358148148,0.4925925925555556,0.19185185185185186,0.4074074074074074,qwen,0.4074074074074074
SVK_Male_30-49_Lower,SVK,Male,30-49,Lower,0.3721951221111111,0.4742547432222222,0.29384823848238484,0.3766260162601626,gemma3,0.3766260162601626
USA_Female_30-49_Higher,USA,Female,30-49,Higher,0.3383017164074074,0.3947606143333333,0.3163128575730202,0.3721657633242999,qwen,0.3721657633242999
USA_Female_18-29_Medium,USA,Female,18-29,Medium,0.35403245888888885,0.4058676644444444,0.3207407407407407,0.36404494382022473,qwen,0.36404494382022473
USA_Male_18-29_Medium,USA,Male,18-29,Medium,0.3725071228888889,0.4102564106666666,0.33189992877492874,0.35790598290598286,qwen,0.35790598290598286
USA_Female_30-49_Medium,USA,Female,30-49,Medium,0.2976763485925926,0.3789764868888889,0.2726187183033656,0.35360765329645,qwen,0.35360765329645
USA_Male_30-49_Higher,USA,Male,30-49,Higher,0.3299693182962963,0.36883629177777777,0.30749780845934693,0.3458168967784352,gemma3,0.3458168967784352
USA_Male_50-64_Higher,USA,Male,50-64,Higher,0.3527837515185185,0.36678614099999995,0.3243040621266428,0.34109916367980886,qwen,0.34109916367980886
USA_Male_30-49_Medium,USA,Male,30-49,Medium,0.3548732941111111,0.3647953214444445,0.3244639376218324,0.3390643274853801,bielik,0.3390643274853801
CHN_Female_50-64_Higher,CHN,Female,50-64,Higher,0.3176767677407408,0.4393939396666667,0.20319865319865327,0.33838383838383845,qwen,0.33838383838383845
CHN_Male_30-49_Higher,CHN,Male,30-49,Higher,0.2290684625925926,0.3595959597777778,0.1980864197530864,0.3373569023569023,qwen,0.3373569023569023
USA_Female_18-29_Higher,USA,Female,18-29,Higher,0.33675110322222224,0.3669142198888889,0.31006236806754944,0.33638744962579153,qwen,0.33638744962579153
CHN_Female_65+_Medium,CHN,Female,65+,Medium,0.34370370385185184,0.4737037035555556,0.2037746913580247,0.33169444444444446,qwen,0.33169444444444446
