persona_id,model,w1_norm,w1_boot_mean,w1_boot_sd,w1_ci_lower,w1_ci_upper,country,sex,age_group,education
CHN_Female_18-29_Higher,bielik_lora,0.12833333333333333,0.12790902777777777,0.0087266330460883,0.11166666666666665,0.14430555555555558,CHN,Female,18-29,Higher
CHN_Female_18-29_Higher,qwen_lora,0.29583333333333334,0.29436388888888887,0.01563856931896813,0.26317708333333334,0.3256944444444444,CHN,Female,18-29,Higher
CHN_Female_18-29_Lower,bielik_lora,0.19076388888888887,0.19155229166666665,0.017321428955794346,0.15951388888888887,0.22722222222222221,CHN,Female,18-29,Lower
CHN_Female_18-29_Lower,qwen_lora,0.46743055555555557,0.4670107638888889,0.026859487980781898,0.4153038194444445,0.5195138888888889,CHN,Female,18-29,Lower
CHN_Female_18-29_Medium,bielik_lora,0.12568627477777777,0.1274305882352941,0.014346281368898841,0.0995424836601307,0.15705882352941172,CHN,Female,18-29,Medium
CHN_Female_18-29_Medium,qwen_lora,0.3748366014444444,0.37574771241830063,0.022829540614078096,0.32908496732026143,0.4166666666666667,CHN,Female,18-29,Medium
CHN_Female_30-49_Higher,bielik_lora,0.20304093511111113,0.20294766081871346,0.010198756789244168,0.18328581871345023,0.22352704678362573,CHN,Female,30-49,Higher
CHN_Female_30-49_Higher,qwen_lora,0.4281286551111111,0.42782236842105265,0.017480533985389776,0.39302266081871345,0.46175438596491225,CHN,Female,30-49,Higher
CHN_Female_30-49_Lower,bielik_lora,0.22406039333333336,0.22393198475520376,0.007987869914330238,0.2085224274406333,0.2393125183230724,CHN,Female,30-49,Lower
CHN_Female_30-49_Lower,qwen_lora,0.507991791111111,0.508106713573732,0.013054131817012666,0.4827719143946057,0.532332160656699,CHN,Female,30-49,Lower
CHN_Female_30-49_Medium,bielik_lora,0.21776439066666667,0.21738532797858098,0.012212926003921041,0.19299129852744312,0.24119143239625165,CHN,Female,30-49,Medium
CHN_Female_30-49_Medium,qwen_lora,0.47502007999999996,0.4764538152610442,0.017267900832027058,0.44289156626506027,0.5084872824631861,CHN,Female,30-49,Medium
CHN_Female_50-64_Higher,bielik_lora,0.23040404055555555,0.23489454545454544,0.027704650743203597,0.1798989898989899,0.2902222222222222,CHN,Female,50-64,Higher
CHN_Female_50-64_Higher,qwen_lora,0.43828282855555556,0.4359088888888889,0.051913861471222476,0.3320959595959596,0.5392929292929293,CHN,Female,50-64,Higher
CHN_Female_50-64_Lower,bielik_lora,0.3075308643333333,0.3072875308641975,0.008818650007796374,0.2899228395061728,0.324212962962963,CHN,Female,50-64,Lower
CHN_Female_50-64_Lower,qwen_lora,0.5783950618888889,0.5781342592592592,0.014203953491889267,0.5503009259259259,0.6067978395061728,CHN,Female,50-64,Lower
CHN_Female_50-64_Medium,bielik_lora,0.30615615566666665,0.3063008408408408,0.014601648069868618,0.27612612612612614,0.3331831831831832,CHN,Female,50-64,Medium
CHN_Female_50-64_Medium,qwen_lora,0.6006006007777778,0.600006006006006,0.031005755134251092,0.540503003003003,0.6591591591591591,CHN,Female,50-64,Medium
CHN_Female_65+_Lower,bielik_lora,0.3557098764444444,0.3554259259259259,0.018664191601327,0.3194444444444444,0.391994598765432,CHN,Female,65+,Lower
CHN_Female_65+_Lower,qwen_lora,0.5595987653333334,0.5603140432098765,0.02700832074643905,0.5086342592592592,0.6143827160493827,CHN,Female,65+,Lower
CHN_Female_65+_Medium,bielik_lora,0.29851851844444444,0.3027611111111111,0.060536580416431,0.18253703703703703,0.41894444444444434,CHN,Female,65+,Medium
CHN_Female_65+_Medium,qwen_lora,0.5337037035555556,0.534032962962963,0.07274390220178928,0.3948148148148148,0.6725925925925925,CHN,Female,65+,Medium
CHN_Male_18-29_Higher,bielik_lora,0.18151183966666665,0.1810489981785064,0.010134145806908797,0.16056466302367942,0.19972677595628413,CHN,Male,18-29,Higher
CHN_Male_18-29_Higher,qwen_lora,0.3942987252222222,0.39472535519125684,0.016188877535121677,0.36242258652094717,0.42617486338797816,CHN,Male,18-29,Higher
CHN_Male_18-29_Lower,bielik_lora,0.18095238066666666,0.1807521693121693,0.02050858330679246,0.1412698412698413,0.22328042328042327,CHN,Male,18-29,Lower
CHN_Male_18-29_Lower,qwen_lora,0.5012698411111111,0.5000154497354498,0.02934980122593034,0.43777777777777777,0.5568703703703705,CHN,Male,18-29,Lower
CHN_Male_18-29_Medium,bielik_lora,0.15527777777777776,0.15870777777777778,0.0170151870956667,0.12611111111111112,0.19277777777777777,CHN,Male,18-29,Medium
CHN_Male_18-29_Medium,qwen_lora,0.41083333333333333,0.4118027777777778,0.021416944919046412,0.36916666666666664,0.45249999999999996,CHN,Male,18-29,Medium
CHN_Male_30-49_Higher,bielik_lora,0.21181818200000002,0.21235151515151515,0.00971628554407913,0.19429292929292927,0.2306734006734007,CHN,Male,30-49,Higher
CHN_Male_30-49_Higher,qwen_lora,0.4660269362222223,0.4659043771043771,0.014803885809046588,0.4363973063973064,0.49296296296296294,CHN,Male,30-49,Higher
CHN_Male_30-49_Lower,bielik_lora,0.22757697444444444,0.2276086568496207,0.009593704917134726,0.2074966532797858,0.24587237840249887,CHN,Male,30-49,Lower
CHN_Male_30-49_Lower,qwen_lora,0.5166711286666666,0.5174141008478358,0.014318389705700728,0.4885252119589468,0.5443485051316377,CHN,Male,30-49,Lower
CHN_Male_30-49_Medium,bielik_lora,0.22705882344444442,0.22717591503267975,0.013155172894298649,0.20173202614379082,0.25158905228758177,CHN,Male,30-49,Medium
CHN_Male_30-49_Medium,qwen_lora,0.5250326798888889,0.5251952614379085,0.01704501097611389,0.4923325163398693,0.5568954248366013,CHN,Male,30-49,Medium
CHN_Male_50-64_Higher,bielik_lora,0.22333333322222218,0.22399925925925926,0.027350753709444686,0.17444444444444443,0.2751851851851852,CHN,Male,50-64,Higher
CHN_Male_50-64_Higher,qwen_lora,0.49592592588888895,0.49434814814814815,0.0441208022495569,0.40694444444444444,0.5774074074074075,CHN,Male,50-64,Higher
CHN_Male_50-64_Lower,bielik_lora,0.2851181105555555,0.2870772528433946,0.009134163233595937,0.27019247594050744,0.3061251093613298,CHN,Male,50-64,Lower
CHN_Male_50-64_Lower,qwen_lora,0.6216097987777778,0.6218648293963255,0.014308334079982036,0.5922790901137357,0.6496172353455819,CHN,Male,50-64,Lower
CHN_Male_50-64_Medium,bielik_lora,0.25434543488888894,0.2559353135313531,0.016049095638032234,0.22464246424642464,0.2851540154015402,CHN,Male,50-64,Medium
CHN_Male_50-64_Medium,qwen_lora,0.6137843786666666,0.6144136413641365,0.02280585553314411,0.5697799779977998,0.6577887788778879,CHN,Male,50-64,Medium
CHN_Male_65+_Higher,bielik_lora,0.3740740741111111,0.37837814814814813,0.020806909664024084,0.337037037037037,0.4222222222222222,CHN,Male,65+,Higher
CHN_Male_65+_Higher,qwen_lora,0.7025925927777777,0.7046851851851852,0.05277567524354202,0.5822222222222222,0.7766666666666667,CHN,Male,65+,Higher
CHN_Male_65+_Lower,bielik_lora,0.43850637544444443,0.43767817850637525,0.01578928076698489,0.4066074681238615,0.4676502732240437,CHN,Male,65+,Lower
CHN_Male_65+_Lower,qwen_lora,0.7230054643333333,0.7237768670309654,0.022009334392350983,0.6811111111111111,0.7630783242258653,CHN,Male,65+,Lower
