persona_id,model,model_origin,country,sex,age_group,education,query_idx,raw_response,parsed_value,is_valid,response_time_sec,timestamp
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,0,2,2,True,0.589,2026-03-01T19:45:05.610152
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,1,1,1,True,0.309,2026-03-01T19:45:05.919416
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,2,2,2,True,0.308,2026-03-01T19:45:06.227831
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,3,2,2,True,0.31,2026-03-01T19:45:06.537868
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,4,2,2,True,0.309,2026-03-01T19:45:06.846972
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,5,1,1,True,0.31,2026-03-01T19:45:07.156557
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,6,1,1,True,0.309,2026-03-01T19:45:07.465746
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,7,1,1,True,0.309,2026-03-01T19:45:07.774468
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,8,2,2,True,0.308,2026-03-01T19:45:08.082990
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,9,2,2,True,0.309,2026-03-01T19:45:08.391645
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,10,2,2,True,0.308,2026-03-01T19:45:08.700021
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,11,2,2,True,0.308,2026-03-01T19:45:09.008492
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,12,1,1,True,0.309,2026-03-01T19:45:09.317370
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,13,1,1,True,0.308,2026-03-01T19:45:09.625880
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,14,1,1,True,0.308,2026-03-01T19:45:09.934395
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,15,2,2,True,0.308,2026-03-01T19:45:10.242839
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,16,1,1,True,0.309,2026-03-01T19:45:10.551636
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,17,1,1,True,0.308,2026-03-01T19:45:10.860076
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,18,1,1,True,0.309,2026-03-01T19:45:11.168734
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,19,2,2,True,0.309,2026-03-01T19:45:11.477296
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,20,2,2,True,0.309,2026-03-01T19:45:11.786413
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,21,1,1,True,0.309,2026-03-01T19:45:12.095365
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,22,1,1,True,0.308,2026-03-01T19:45:12.403744
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,23,2,2,True,0.308,2026-03-01T19:45:12.712137
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,24,1,1,True,0.309,2026-03-01T19:45:13.020797
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,25,2,2,True,0.308,2026-03-01T19:45:13.328492
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,26,2,2,True,0.308,2026-03-01T19:45:13.636159
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,27,1,1,True,0.308,2026-03-01T19:45:13.944429
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,28,2,2,True,0.308,2026-03-01T19:45:14.252222
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,29,2,2,True,0.309,2026-03-01T19:45:14.560905
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,30,1,1,True,0.308,2026-03-01T19:45:14.869268
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,31,1,1,True,0.308,2026-03-01T19:45:15.177406
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,32,1,1,True,0.308,2026-03-01T19:45:15.485739
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,33,1,1,True,0.308,2026-03-01T19:45:15.794113
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,34,2,2,True,0.309,2026-03-01T19:45:16.102724
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,35,2,2,True,0.308,2026-03-01T19:45:16.411071
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,36,1,1,True,0.308,2026-03-01T19:45:16.719212
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,37,2,2,True,0.308,2026-03-01T19:45:17.027742
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,38,2,2,True,0.308,2026-03-01T19:45:17.336063
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,39,1,1,True,0.308,2026-03-01T19:45:17.644321
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,40,2,2,True,0.309,2026-03-01T19:45:17.952936
CHN_Female_18-29_Higher,bielik,Poland,CHN,Female,18-29,Higher,41,2,2,True,0.309,2026-03-01T19:45:18.261644
