persona_id,model,model_origin,country,sex,age_group,education,query_idx,raw_response,parsed_value,is_valid,response_time_sec,timestamp
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,0,3,3,True,0.166,2026-03-01T20:17:51.995830
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,1,3,3,True,0.148,2026-03-01T20:17:52.143485
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,2,3,3,True,0.147,2026-03-01T20:17:52.291016
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,3,3,3,True,0.147,2026-03-01T20:17:52.438508
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,4,3,3,True,0.147,2026-03-01T20:17:52.585781
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,5,3,3,True,0.147,2026-03-01T20:17:52.732936
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,6,3,3,True,0.147,2026-03-01T20:17:52.879966
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,7,3,3,True,0.148,2026-03-01T20:17:53.028223
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,8,3,3,True,0.148,2026-03-01T20:17:53.176091
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,9,3,3,True,0.148,2026-03-01T20:17:53.323731
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,10,3,3,True,0.148,2026-03-01T20:17:53.471584
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,11,3,3,True,0.148,2026-03-01T20:17:53.619263
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,12,3,3,True,0.148,2026-03-01T20:17:53.766993
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,13,3,3,True,0.148,2026-03-01T20:17:53.914612
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,14,3,3,True,0.148,2026-03-01T20:17:54.062339
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,15,3,3,True,0.148,2026-03-01T20:17:54.209943
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,16,3,3,True,0.148,2026-03-01T20:17:54.357790
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,17,3,3,True,0.148,2026-03-01T20:17:54.505508
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,18,3,3,True,0.148,2026-03-01T20:17:54.653271
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,19,3,3,True,0.148,2026-03-01T20:17:54.801122
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,20,3,3,True,0.148,2026-03-01T20:17:54.949189
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,21,3,3,True,0.148,2026-03-01T20:17:55.097576
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,22,3,3,True,0.148,2026-03-01T20:17:55.245515
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,23,3,3,True,0.148,2026-03-01T20:17:55.393298
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,24,3,3,True,0.148,2026-03-01T20:17:55.541001
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,25,3,3,True,0.148,2026-03-01T20:17:55.688599
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,26,3,3,True,0.148,2026-03-01T20:17:55.836322
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,27,3,3,True,0.148,2026-03-01T20:17:55.983966
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,28,3,3,True,0.148,2026-03-01T20:17:56.131614
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,29,3,3,True,0.148,2026-03-01T20:17:56.279434
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,30,3,3,True,0.148,2026-03-01T20:17:56.427276
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,31,3,3,True,0.148,2026-03-01T20:17:56.575048
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,32,3,3,True,0.148,2026-03-01T20:17:56.722713
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,33,3,3,True,0.148,2026-03-01T20:17:56.870355
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,34,3,3,True,0.148,2026-03-01T20:17:57.017969
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,35,3,3,True,0.147,2026-03-01T20:17:57.165161
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,36,3,3,True,0.147,2026-03-01T20:17:57.312616
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,37,3,3,True,0.147,2026-03-01T20:17:57.459512
CHN_Female_18-29_Higher,qwen,China,CHN,Female,18-29,Higher,38,3,3,True,0.147,2026-03-01T20:17:57.606323
