persona_id,model,query_idx,raw_response,parsed_value,is_valid,response_time_sec,timestamp
CHN_Male_30-49_Higher,bielik,0,2,2,True,0.736,2026-02-13T22:49:00.494879
CHN_Male_30-49_Higher,bielik,1,2,2,True,0.188,2026-02-13T22:49:00.683046
CHN_Male_30-49_Higher,bielik,2,2,2,True,0.188,2026-02-13T22:49:00.870620
CHN_Male_30-49_Higher,bielik,3,2,2,True,0.187,2026-02-13T22:49:01.058014
CHN_Male_30-49_Higher,bielik,4,2,2,True,0.187,2026-02-13T22:49:01.245426
CHN_Male_30-49_Higher,bielik,5,3,3,True,0.188,2026-02-13T22:49:01.433246
CHN_Male_30-49_Higher,bielik,6,3,3,True,0.188,2026-02-13T22:49:01.621489
CHN_Male_30-49_Higher,bielik,7,3,3,True,0.188,2026-02-13T22:49:01.809708
CHN_Male_30-49_Higher,bielik,8,2,2,True,0.188,2026-02-13T22:49:01.997734
CHN_Male_30-49_Higher,bielik,9,5,5,True,0.188,2026-02-13T22:49:02.185980
SVK_Female_50-64_Medium,bielik,0,8,8,True,0.188,2026-02-13T22:49:02.379880
SVK_Female_50-64_Medium,bielik,1,8,8,True,0.188,2026-02-13T22:49:02.567449
SVK_Female_50-64_Medium,bielik,2,8,8,True,0.188,2026-02-13T22:49:02.755188
SVK_Female_50-64_Medium,bielik,3,10,10,True,0.258,2026-02-13T22:49:03.013014
SVK_Female_50-64_Medium,bielik,4,8,8,True,0.188,2026-02-13T22:49:03.200585
SVK_Female_50-64_Medium,bielik,5,8,8,True,0.188,2026-02-13T22:49:03.388516
SVK_Female_50-64_Medium,bielik,6,8,8,True,0.188,2026-02-13T22:49:03.576190
SVK_Female_50-64_Medium,bielik,7,8,8,True,0.187,2026-02-13T22:49:03.763684
SVK_Female_50-64_Medium,bielik,8,8,8,True,0.188,2026-02-13T22:49:03.951489
SVK_Female_50-64_Medium,bielik,9,8,8,True,0.187,2026-02-13T22:49:04.138529
USA_Male_18-29_Medium,bielik,0,4,4,True,0.187,2026-02-13T22:49:04.328575
USA_Male_18-29_Medium,bielik,1,5,5,True,0.186,2026-02-13T22:49:04.514931
USA_Male_18-29_Medium,bielik,2,5,5,True,0.187,2026-02-13T22:49:04.701538
USA_Male_18-29_Medium,bielik,3,5,5,True,0.187,2026-02-13T22:49:04.888457
USA_Male_18-29_Medium,bielik,4,5,5,True,0.187,2026-02-13T22:49:05.075868
USA_Male_18-29_Medium,bielik,5,5,5,True,0.188,2026-02-13T22:49:05.263423
USA_Male_18-29_Medium,bielik,6,4,4,True,0.187,2026-02-13T22:49:05.450399
USA_Male_18-29_Medium,bielik,7,5,5,True,0.187,2026-02-13T22:49:05.637294
USA_Male_18-29_Medium,bielik,8,5,5,True,0.187,2026-02-13T22:49:05.824527
USA_Male_18-29_Medium,bielik,9,5,5,True,0.187,2026-02-13T22:49:06.011462
