persona_id,model,query_idx,raw_response,parsed_value,is_valid,response_time_sec,timestamp
CHN_Male_30-49_Higher,gemma3,0,1,1,True,0.361,2026-02-13T22:48:35.809472
CHN_Male_30-49_Higher,gemma3,1,1,1,True,0.28,2026-02-13T22:48:36.089255
CHN_Male_30-49_Higher,gemma3,2,1,1,True,0.289,2026-02-13T22:48:36.377914
CHN_Male_30-49_Higher,gemma3,3,1,1,True,0.276,2026-02-13T22:48:36.653600
CHN_Male_30-49_Higher,gemma3,4,1,1,True,0.285,2026-02-13T22:48:36.938803
CHN_Male_30-49_Higher,gemma3,5,1,1,True,0.285,2026-02-13T22:48:37.224197
CHN_Male_30-49_Higher,gemma3,6,1,1,True,0.308,2026-02-13T22:48:37.531983
CHN_Male_30-49_Higher,gemma3,7,1,1,True,0.273,2026-02-13T22:48:37.804982
CHN_Male_30-49_Higher,gemma3,8,1,1,True,0.295,2026-02-13T22:48:38.099719
CHN_Male_30-49_Higher,gemma3,9,1,1,True,0.271,2026-02-13T22:48:38.370649
SVK_Female_50-64_Medium,gemma3,0,9,9,True,0.361,2026-02-13T22:48:38.739058
SVK_Female_50-64_Medium,gemma3,1,"9
",9,True,0.307,2026-02-13T22:48:39.046248
SVK_Female_50-64_Medium,gemma3,2,9,9,True,0.274,2026-02-13T22:48:39.320645
SVK_Female_50-64_Medium,gemma3,3,9,9,True,0.306,2026-02-13T22:48:39.626488
SVK_Female_50-64_Medium,gemma3,4,9,9,True,0.271,2026-02-13T22:48:39.897327
SVK_Female_50-64_Medium,gemma3,5,9,9,True,0.278,2026-02-13T22:48:40.174955
SVK_Female_50-64_Medium,gemma3,6,9,9,True,0.28,2026-02-13T22:48:40.455088
SVK_Female_50-64_Medium,gemma3,7,9,9,True,0.279,2026-02-13T22:48:40.734256
SVK_Female_50-64_Medium,gemma3,8,9,9,True,0.274,2026-02-13T22:48:41.007962
SVK_Female_50-64_Medium,gemma3,9,9,9,True,0.275,2026-02-13T22:48:41.282767
USA_Male_18-29_Medium,gemma3,0,6,6,True,0.369,2026-02-13T22:48:41.656661
USA_Male_18-29_Medium,gemma3,1,6,6,True,0.284,2026-02-13T22:48:41.940429
USA_Male_18-29_Medium,gemma3,2,6,6,True,0.265,2026-02-13T22:48:42.205748
USA_Male_18-29_Medium,gemma3,3,6,6,True,0.267,2026-02-13T22:48:42.472659
USA_Male_18-29_Medium,gemma3,4,6,6,True,0.281,2026-02-13T22:48:42.753503
USA_Male_18-29_Medium,gemma3,5,6,6,True,0.311,2026-02-13T22:48:43.064443
USA_Male_18-29_Medium,gemma3,6,6,6,True,0.295,2026-02-13T22:48:43.359732
USA_Male_18-29_Medium,gemma3,7,6,6,True,0.269,2026-02-13T22:48:43.629255
USA_Male_18-29_Medium,gemma3,8,6,6,True,0.286,2026-02-13T22:48:43.915485
USA_Male_18-29_Medium,gemma3,9,6,6,True,0.316,2026-02-13T22:48:44.231425
