model,persona_id,country,sex,age_group,education,response_idx,raw_response,parsed_value
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,0,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,1,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,2,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,3,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,4,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,5,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,6,6,6
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,7,6,6
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,8,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,9,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,10,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,11,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,12,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,13,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,14,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,15,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,16,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,17,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,18,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,19,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,20,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,21,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,22,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,23,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,24,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,25,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,26,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,27,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,28,5,5
qwen_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,29,6,6
